rand(0x7ffe38370de0, 41, 40, 0x5621089bedd8)                      = 0x6b8b4567
rand(0x7fe0d511c860, 0x7ffe38370d14, 39, 0x7ffe38370d60)          = 0x327b23c6
rand(0x7fe0d511c860, 0x7ffe38370d14, 38, 0x7ffe38370d60)          = 0x643c9869
rand(0x7fe0d511c860, 0x7ffe38370d14, 37, 0x7ffe38370d60)          = 0x66334873
rand(0x7fe0d511c860, 0x7ffe38370d14, 36, 0x7ffe38370d60)          = 0x74b0dc51
rand(0x7fe0d511c860, 0x7ffe38370d14, 35, 0x7ffe38370d60)          = 0x19495cff
rand(0x7fe0d511c860, 0x7ffe38370d14, 34, 0x7ffe38370d60)          = 0x2ae8944a
rand(0x7fe0d511c860, 0x7ffe38370d14, 33, 0x7ffe38370d60)          = 0x625558ec
rand(0x7fe0d511c860, 0x7ffe38370d14, 32, 0x7ffe38370d60)          = 0x238e1f29
rand(0x7fe0d511c860, 0x7ffe38370d14, 31, 0x7ffe38370d60)          = 0x46e87ccd
rand(0x7fe0d511c860, 0x7ffe38370d14, 30, 0x7ffe38370d60)          = 0x3d1b58ba
rand(0x7fe0d511c860, 0x7ffe38370d14, 29, 0x7ffe38370d60)          = 0x507ed7ab
rand(0x7fe0d511c860, 0x7ffe38370d14, 28, 0x7ffe38370d60)          = 0x2eb141f2
rand(0x7fe0d511c860, 0x7ffe38370d14, 27, 0x7ffe38370d60)          = 0x41b71efb
rand(0x7fe0d511c860, 0x7ffe38370d14, 26, 0x7ffe38370d60)          = 0x79e2a9e3
rand(0x7fe0d511c860, 0x7ffe38370d14, 25, 0x7ffe38370d60)          = 0x7545e146
rand(0x7fe0d511c860, 0x7ffe38370d14, 24, 0x7ffe38370d60)          = 0x515f007c
rand(0x7fe0d511c860, 0x7ffe38370d14, 23, 0x7ffe38370d60)          = 0x5bd062c2
rand(0x7fe0d511c860, 0x7ffe38370d14, 22, 0x7ffe38370d60)          = 0x12200854
rand(0x7fe0d511c860, 0x7ffe38370d14, 21, 0x7ffe38370d60)          = 0x4db127f8
rand(0x7fe0d511c860, 0x7ffe38370d14, 20, 0x7ffe38370d60)          = 0x216231b
